name,Group,brand,price,source,url,search_keyword,goods_no,img,original_price,platform,shop
[단독기획] 헤라 블랙쿠션 (+리필+쿠션블러셔+립펜슬 듀오),A,헤라,66600,OliveYoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202777&dispCatNo=1000001000200060002&trackingCd=Result_1,헤라 블랙쿠션,A000000202777,,,,
헤라 블랙 쿠션 파운데이션 리필 15g ,B,헤라,34200,OliveYoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000202780&dispCatNo=1000001000200060002&trackingCd=Result_1,헤라 블랙쿠션,A000000202780,,,,
헤라 블랙 쿠션 파운데이션 퍼프 2종,C,헤라,7200,OliveYoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000203668&dispCatNo=1000001000200060002&trackingCd=Result_1,헤라 블랙쿠션,A000000203668,,,,
[각인/선물패키지] 헤라 블랙 쿠션 파운데이션,D,헤라,66600,OliveYoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000234130&dispCatNo=1000001000200060002&trackingCd=Result_1,헤라 블랙쿠션,B000000234130,,,,
헤라 블랙 톤업 선쿠션 15g,E,헤라,46800,OliveYoung,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211008&dispCatNo=1000001000200060002&trackingCd=Result_1,헤라 블랙쿠션,A000000211008,,,,
블랙 쿠션 파운데이션 리필 15g 택 1,B,아모레퍼시픽,33060,Ably,https://m.a-bly.com/goods/2354773?list_id=AblyListId.SEARCH_GOODS_RECOMMEND&ad=%7B%22list_id%22%3A%20%22search_recommend%22%2C%20%22campaign_id%22%3A%20%22189160%22%2C%20%22parameters%22%3A%20%22%7B%5C%22generated_at%5C%22%3A%20%5C%222025-11-16%2016%3A53%3A04%5C%22%2C%20%5C%22market_sno%5C%22%3A%2016757%2C%20%5C%22ad_market_sno%5C%22%3A%2010028%2C%20%5C%22search_keyword%5C%22%3A%20%5C%22%5C%5Cud5e4%5C%5Cub77c%20%5C%5Cube14%5C%5Cub799%5C%5Cucfe0%5C%5Cuc158%5C%22%2C%20%5C%22ei%5C%22%3A%20%5C%22SLSyfTcjXkWM0g%2Bq%2B9vXEUqS0kKpK%2Bj92qCGA0h0SdxSiR%2FHQSWwsMDGjoz%2FCA7TFQyxULM%2B7UzHROPBkUZAougeUjkEqbK9SRYgk9t21pdIOKzONTegH6zW16SfjiNEDxiW7funhloLbhsQZERU%2FHAxolcWYBRXtd5QIlOElBS6QOjlGlNdJpGsw87V4y5zXOBRPcLHQj%2BzLkWw8U0F6qdV1mgi86I%2FNy4Mwlt6Feztwi22pvjWBOU%2BfokAR1FsnVZk%2BC%2B52JspNo3NzkZZVD8azk2hFpqzG7kX%2FrHXtVM%3D%5C%22%2C%20%5C%22list_index%5C%22%3A%200%7D%22%2C%20%22goods_sno%22%3A%202354773%7D&logging_analytics=%7B%22FROM%22%3A%20%22SEARCH_RESULT%22%2C%20%22SEARCH_KEYWORD%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cube14%5Cub799%5Cucfe0%5Cuc158%22%7D&first_page_rendering=%7B%22goods_name%22%3A%20%22%5Cube14%5Cub799%20%5Cucfe0%5Cuc158%20%5Cud30c%5Cuc6b4%5Cub370%5Cuc774%5Cuc158%20%5Cub9ac%5Cud544%2015g%20%5Cud0dd%201%22%2C%20%22market_name%22%3A%20%22%5Cud5e4%5Cub77c%22%2C%20%22cover_image%22%3A%20%22https%3A%2F%2Fd3ha2047wt6x28.cloudfront.net%2FRHfrvxsyIEg%2Fpr%3AGOODS_DETAIL%2FczM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjEwNTE4XzE2MjEzMTE4NzUyNzk4MTdtLmpwZw%22%2C%20%22market_image%22%3A%20null%2C%20%22discount_rate%22%3A%2013%2C%20%22original_price%22%3A%2038000%2C%20%22price%22%3A%2033060%7D,헤라 블랙쿠션,,,,Ably,
🥇8년연속 1위🥇블랙 쿠션 파운데이션 듀오 SPF34/PA++ 15gx2 (본품15g+리필15g),F,아모레퍼시픽,62160,Ably,https://m.a-bly.com/goods/2345247?list_id=AblyListId.SEARCH_GOODS_RECOMMEND&ad=%7B%22list_id%22%3A%20%22search_recommend%22%2C%20%22campaign_id%22%3A%20%22189160%22%2C%20%22parameters%22%3A%20%22%7B%5C%22generated_at%5C%22%3A%20%5C%222025-11-16%2016%3A53%3A04%5C%22%2C%20%5C%22market_sno%5C%22%3A%2016757%2C%20%5C%22ad_market_sno%5C%22%3A%2010028%2C%20%5C%22search_keyword%5C%22%3A%20%5C%22%5C%5Cud5e4%5C%5Cub77c%20%5C%5Cube14%5C%5Cub799%5C%5Cucfe0%5C%5Cuc158%5C%22%2C%20%5C%22ei%5C%22%3A%20%5C%22pMkbUISRLoWdvcg0wVEAj8HrJ1xFiAMekwXomMISFFBf06Whkr6bStXXmgYDinyjKezHK69Ml1AKkFvL7QyefugeUjkEqbK9SRYgk9t21pdIOKzONTegH6zW16SfjiNEDxiW7funhloLbhsQZERU%2FHAxolcWYBRXtd5QIlOElBS6QOjlGlNdJpGsw87V4y5zXOBRPcLHQj%2BzLkWw8U0F6qdV1mgi86I%2FNy4Mwlt6Feztwi22pvjWBOU%2BfokAR1FsnVZk%2BC%2B52JspNo3NzkZZVD8azk2hFpqzG7kX%2FrHXtVM%3D%5C%22%2C%20%5C%22list_index%5C%22%3A%201%7D%22%2C%20%22goods_sno%22%3A%202345247%7D&logging_analytics=%7B%22FROM%22%3A%20%22SEARCH_RESULT%22%2C%20%22SEARCH_KEYWORD%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cube14%5Cub799%5Cucfe0%5Cuc158%22%7D&first_page_rendering=%7B%22goods_name%22%3A%20%22%5Cud83e%5Cudd478%5Cub144%5Cuc5f0%5Cuc18d%201%5Cuc704%5Cud83e%5Cudd47%5Cube14%5Cub799%20%5Cucfe0%5Cuc158%20%5Cud30c%5Cuc6b4%5Cub370%5Cuc774%5Cuc158%20%5Cub4c0%5Cuc624%20SPF34%2FPA%2B%2B%2015gx2%20%28%5Cubcf8%5Cud48815g%2B%5Cub9ac%5Cud54415g%29%22%2C%20%22market_name%22%3A%20%22%5Cud5e4%5Cub77c%22%2C%20%22cover_image%22%3A%20%22https%3A%2F%2Fd3ha2047wt6x28.cloudfront.net%2FfDbHNo1qUh4%2Fpr%3AGOODS_DETAIL%2FczM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjUxMDI4XzE3NjE2MTQ5MzM2MzY0ODBtLmpwZw%22%2C%20%22market_image%22%3A%20null%2C%20%22discount_rate%22%3A%2016%2C%20%22original_price%22%3A%2074000%2C%20%22price%22%3A%2062160%7D,헤라 블랙쿠션,,,,Ably,
블랙 쿠션 파운데이션 00PI호 15g,E,아모레퍼시픽,44200,Ably,https://m.a-bly.com/goods/26802477?list_id=AblyListId.SEARCH_GOODS_RECOMMEND&ad=%7B%22list_id%22%3A%20%22search_recommend%22%2C%20%22campaign_id%22%3A%20%22189160%22%2C%20%22parameters%22%3A%20%22%7B%5C%22generated_at%5C%22%3A%20%5C%222025-11-16%2016%3A53%3A04%5C%22%2C%20%5C%22market_sno%5C%22%3A%2016757%2C%20%5C%22ad_market_sno%5C%22%3A%2010028%2C%20%5C%22search_keyword%5C%22%3A%20%5C%22%5C%5Cud5e4%5C%5Cub77c%20%5C%5Cube14%5C%5Cub799%5C%5Cucfe0%5C%5Cuc158%5C%22%2C%20%5C%22ei%5C%22%3A%20%5C%224P0WuH8JMDSMNfAsRA74G0OCXznKNdPHxFTBOlPa3DMsWUT31bn9RSTh1zfhTRUVoNtS2wWQ22Rd4MyoXdL%2B%2F0B33xeZE91rQYMX6QdR87lnIaBUSSSjs8tBcbxp9EFz9NKZfkjcpozEAI5BmDV0b%2BadnO5wPViv9%2F1r3ZKl2Oc9jL%2F0rm5AUvEwO%2F8ib%2BHyQ2ZE0nOO6sWMhszVvAa7bPaJdLo45164cos1qiiJrvEplq4Jzt7KunwfEnn%2BoZiTwzIdcshcFpLhzP8pbYHJ5DwNmi0VGtkr5E432sPf48E%3D%5C%22%2C%20%5C%22list_index%5C%22%3A%202%7D%22%2C%20%22goods_sno%22%3A%2026802477%7D&logging_analytics=%7B%22FROM%22%3A%20%22SEARCH_RESULT%22%2C%20%22SEARCH_KEYWORD%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cube14%5Cub799%5Cucfe0%5Cuc158%22%7D&first_page_rendering=%7B%22goods_name%22%3A%20%22%5Cube14%5Cub799%20%5Cucfe0%5Cuc158%20%5Cud30c%5Cuc6b4%5Cub370%5Cuc774%5Cuc158%2000PI%5Cud638%2015g%22%2C%20%22market_name%22%3A%20%22%5Cud5e4%5Cub77c%22%2C%20%22cover_image%22%3A%20%22https%3A%2F%2Fd3ha2047wt6x28.cloudfront.net%2F3q_ej0EAfug%2Fpr%3AGOODS_DETAIL%2FczM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjUwOTA5XzE3NTczOTMxMDM0OTEyMjdtLmpwZw%22%2C%20%22market_image%22%3A%20null%2C%20%22discount_rate%22%3A%2015%2C%20%22original_price%22%3A%2052000%2C%20%22price%22%3A%2044200%7D,헤라 블랙쿠션,,,,Ably,
블랙 쿠션 파운데이션 리필 15g 2개,L,아모레퍼시픽,63080,Ably,https://m.a-bly.com/goods/42800113?list_id=AblyListId.SEARCH_GOODS_RECOMMEND&logging_analytics=%7B%22FROM%22%3A%20%22SEARCH_RESULT%22%2C%20%22SEARCH_KEYWORD%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cube14%5Cub799%5Cucfe0%5Cuc158%22%7D&first_page_rendering=%7B%22goods_name%22%3A%20%22%5Cube14%5Cub799%20%5Cucfe0%5Cuc158%20%5Cud30c%5Cuc6b4%5Cub370%5Cuc774%5Cuc158%20%5Cub9ac%5Cud544%2015g%202%5Cuac1c%22%2C%20%22market_name%22%3A%20%22%5Cud5e4%5Cub77c%22%2C%20%22cover_image%22%3A%20%22https%3A%2F%2Fd3ha2047wt6x28.cloudfront.net%2FYwZkkm6Y6pw%2Fpr%3AGOODS_DETAIL%2FczM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjUxMTEyXzE3NjI5MTM0NjYxODMxMzdtLmpwZw%22%2C%20%22market_image%22%3A%20null%2C%20%22discount_rate%22%3A%2017%2C%20%22original_price%22%3A%2076000%2C%20%22price%22%3A%2063080%7D,헤라 블랙쿠션,,,,Ably,
리플렉션 스킨 글로우 쿠션 파운데이션 15g,G,아모레퍼시픽,51000,Ably,https://m.a-bly.com/goods/37588820?list_id=AblyListId.SEARCH_GOODS_RECOMMEND&logging_analytics=%7B%22FROM%22%3A%20%22SEARCH_RESULT%22%2C%20%22SEARCH_KEYWORD%22%3A%20%22%5Cud5e4%5Cub77c%20%5Cube14%5Cub799%5Cucfe0%5Cuc158%22%7D&first_page_rendering=%7B%22goods_name%22%3A%20%22%5Cub9ac%5Cud50c%5Cub809%5Cuc158%20%5Cuc2a4%5Cud0a8%20%5Cuae00%5Cub85c%5Cuc6b0%20%5Cucfe0%5Cuc158%20%5Cud30c%5Cuc6b4%5Cub370%5Cuc774%5Cuc158%2015g%22%2C%20%22market_name%22%3A%20%22%5Cud5e4%5Cub77c%22%2C%20%22cover_image%22%3A%20%22https%3A%2F%2Fd3ha2047wt6x28.cloudfront.net%2FqHYamrbcNNs%2Fpr%3AGOODS_DETAIL%2FczM6Ly9hYmx5LWltYWdlLWxlZ2FjeS9kYXRhL2dvb2RzLzIwMjUxMDI4XzE3NjE2MTUwMjYxNDQ0MzZtLmpwZw%22%2C%20%22market_image%22%3A%20null%2C%20%22discount_rate%22%3A%2015%2C%20%22original_price%22%3A%2060000%2C%20%22price%22%3A%2051000%7D,헤라 블랙쿠션,,,,Ably,
